player,salary,team
Dwight Howard,23180275,atlanta hawks
Paul Millsap,20072033,atlanta hawks
Kent Bazemore,15730338,atlanta hawks
Tiago Splitter,8550000,atlanta hawks
Kyle Korver,5239437,atlanta hawks
Kris Humphries,4000000,atlanta hawks
Thabo Sefolosha,3850000,atlanta hawks
Mike Scott,3333334,atlanta hawks
Dennis Schroder,2708582,atlanta hawks
Malcom Delaney,2500000,atlanta hawks
Taurean Prince,2318280,atlanta hawks
Tim Hardaway Jr.,2281605,atlanta hawks
 DeAndre' Bembry,1499760,atlanta hawks
Mike Muscala,1015696,atlanta hawks
Ryan Kelly,979848,atlanta hawks
Al Horford,26540100,boston celtics
Amir Johnson,12000000,boston celtics
Avery Bradley,8269663,boston celtics
Tyler Zeller,8000000,boston celtics
Isaiah Thomas,6587132,boston celtics
Jae Crowder,6286408,boston celtics
Jonas Jerebko,5000000,boston celtics
Jaylen Brown,4743000,boston celtics
Marcus Smart,3578880,boston celtics
Kelly Olynyk,3094014,boston celtics
Terry Rozier,1906440,boston celtics
James Young,1825200,boston celtics
Demetrius Jackson,1450000,boston celtics
Jordan Mickey,1223653,boston celtics
Gerald Green,980431,boston celtics
Brook Lopez,21165675,brooklyn nets
Jeremy Lin,11483254,brooklyn nets
Trevor Booker,9250000,brooklyn nets
Luis Scola,5500000,brooklyn nets
Bojan Bogdanovic,3573020,brooklyn nets
Justin Hamilton,3000000,brooklyn nets
Randy Foye,2500000,brooklyn nets
Caris LeVert,1562280,brooklyn nets
Rondae Hollis-Jefferson,1395600,brooklyn nets
Chris McCullough,1191480,brooklyn nets
Isaiah Whitehead,1074145,brooklyn nets
Anthony Bennett,1015696,brooklyn nets
Joe Harris,980431,brooklyn nets
Sean Kilpatrick,980431,brooklyn nets
Yogi Ferrell,495518,brooklyn nets
Nicolas Batum,20869565,charlotte hornets
Michael Kidd-Gilchrist,13000000,charlotte hornets
Marvin Williams,12250000,charlotte hornets
Kemba Walker,12000000,charlotte hornets
Jeremy Lamb,6511628,charlotte hornets
Spencer Hawes,6348759,charlotte hornets
Marco Belinelli,6333333,charlotte hornets
Ramon Sessions,6000000,charlotte hornets
Cody Zeller,5318313,charlotte hornets
Roy Hibbert,5000000,charlotte hornets
Frank Kaminsky,2730000,charlotte hornets
Brian Roberts,980431,charlotte hornets
Aaron Harrison,874636,charlotte hornets
Christian Wood,874636,charlotte hornets
Treveon Graham,543471,charlotte hornets
Dwyane Wade,23200000,chicago bulls
Jimmy Butler,17552209,chicago bulls
Rajon Rondo,14000000,chicago bulls
Robin Lopez,13219250,chicago bulls
Taj Gibson,8950000,chicago bulls
Nikola Mirotic,5782450,chicago bulls
Michael Carter-Williams,3183526,chicago bulls
Doug McDermott,2483040,chicago bulls
Denzel Valentine,2092200,chicago bulls
Jerian Grant,1643040,chicago bulls
Bobby Portis,1453680,chicago bulls
Isaiah Canaan,1015696,chicago bulls
Cristiano Felicio,874636,chicago bulls
R.J. Hunter,864346,chicago bulls
Paul Zipser,750000,chicago bulls
LeBron James,30963450,cleveland cavaliers
