manager,player,salary,team,draft_round,draft_pick
Austin Manapsal,Blake Griffin,20140838,los angeles clippers,0,1
Austin Manapsal,DeMarcus Cousins,16957900,sacramento kings,0,2
Austin Manapsal,Giannis Antetokounmpo,2995421,milwaukee bucks,0,3
Sam Tesconi,Anthony Davis,22116750,new orleans pelicans,0,1
Sam Tesconi,Jimmy Butler,17552209,chicago bulls,0,2
Sam Tesconi,Kyle Lowry,12000000,toronto raptors,0,3
Eli Smukler,Paul George,18314532,indiana pacers,0,1
Eli Smukler,Kawhi Leonard,17638063,san antonio spurs,0,2
Eli Smukler,Aaron Gordon,4351320,orlando magic,0,3
Everett Cook,LeBron James,30963450,cleveland cavaliers,0,1
Everett Cook,John Wall,16957900,washington wizards,0,2
Everett Cook,Gorgui Dieng,2348783,minnesota timberwolves,0,3
Ryan Kartje,James Harden,26540100,houston rockets,0,1
Ryan Kartje,Draymond Green,15330435,golden state warriors,0,2
Ryan Kartje,Nikola Jokic,1358500,denver nuggets,0,3
Justin Cerri,Klay Thompson,16663575,golden state warriors,0,1
Justin Cerri,Andrew Wiggins,6006600,minnesota timberwolves,0,2
Justin Cerri,Jabari Parker,5374320,milwaukee bucks,0,3
Christian Mikkelson,Dennis Schroder,2708582,atlanta hawks,0,1
Christian Mikkelson,Jusuf Nurkic,1921320,denver nuggets,0,2
Christian Mikkelson,Rodney Hood,1406520,utah jazz,0,3
